,Review,Rating
0,3D Touch просто восхитительная вещь! Заряд держит целый день. В розовом цвете смотрится очень необычно. Touch ID очень быстрый и удобный. Всем советую этот телефон!,5
1,"Отключается при температуре близкой к нулю, непонятно ведет себя батарея",4
2,"В Apple окончательно решили не заморачиваться, делая незначительные изменения в телефоне, выдают эти изменения за инновации. На этот раз скопировали не только функционал, но и дизайн. Цена и была неадекватно завышена, а после скачка курса так и говорить об этом не приходится. Многие скажут, что и HD разрешения будет достаточно для такой диагонали, может так оно и есть, но аппарат позиционируется, как топовое решение, а в итоге получаем банальную экономию производителя, ведь что произойдёт с временем работы, если увеличить до FHD?! 1 гб оперативки тоже прошлый век! И не надо рассказывать сказки про великолепную оптимизацию iOS, чудес на свете не бывает, этого мало. Те кто скажет, что их не волнуют технические характеристики смартфона, главное чтоб он хорошо работал, телефон за 5000 будет так же хорошо работать, а отдавая (выбрасывая) 55000 нужно думать головой и понимать, что этих денег данный телефон просто непросто не может стоить! Про удобство использования стоит отметить, что больший по размерам Note 4 гораздо лучше лежит в руке и пользоваться им сподручнее.",3
3,"Постарался наиболее ёмко и коротко описать все основные плюсы и минусы. Большим мне аппарат не показался, размеры - что надо. Внешний вид, как для меня, так 5-ка выглядит интереснее и солиднее.",4
4,Достойный телефон. Пользоваться одно удовольствие.,5
5,6s gold 64gb,5
6,"Мой первый айфон. Скажу честно- Эппл ранее никогда в руках не держала, хотелось попробовать что-то новое, андроид уж слишком приелся. Первое, что порадовало- это дизайн и качество сборки. Тут все на высоте. Постоянно любуюсь телефоном, но он без чехла скользкий. Дисплей шикарный. Яркий, насыщенный, все летает. Как будто попадаешь в другой мир. Батарейка-не знаю почему все жалуются. За неё, кстати, переживала. Ан нет, на день с головой хватает.  Камера очень хорошая, очень четкая, яркая, быстрая. Селфи камера тоже крутая, не шумит, хороший угол обзора. Live photo - как по мне бред) 3D Touch - пока непривычно, часто вместо нажатия сильнее просто зажимаю, но думаю что освою, правда потом будет наверно трудно андроид в руки взять (хотя может к тому моменту эта фишка и везде появится). iOS - не знаю как там раньше, не могу сравнить, но пока мне нравится. Все просто, ничего лишнего, никакого мусора. Все очень понятно. iTunes - ребят вы о чем? Какие танцы с бубном? Я никогда в глаза этой проги не видела и с Эпплом не ""дружу"", но в тунце за 5 минут разобралась)) Сеть держит хорошо, вибрация суперская, экран не царапается. Теперь о минусах- пока их обнаружила не много, но есть. В клавиатуре нельзя поместить курсор на середину слова. Блин ну как так? Вроде мелочь да, но иногда нужно. Во многих группах вк пишет что контент запрещён, что ни делай. Может это Эппл, а может и Крымские санкции, так что точно не знаю, решилось сторонним приложением вк. Иногда при загрузке из аппстора повисает, спасает перезагрузка. Отключаешь уведомления а он все равно вылезает. Цена -жа,высокая,но не только на него, посмотрите на доллар. На данный момент для меня больше минусов нет. Ну и обидно, конечно, что айфон стал Попсовым телефоном, признаком роскоши и статуса, алло это телефон!!",5
7,"Мне очень понравилась эта модель! Во-первых классный дизайн,  во-вторых круто снимает в помещении, за счет позволяя понизить ISO, что очень сильно порадовало, во-третьих  на мой взгляд он  совершенно  не тормозит и у него очень четкая и плавная картинка, всем советую)",5
8,"Долгое время пользовалась iPhone 5s 16Gb. Он меня более чем устраивал, но в какой-то момент, я осознала, что есть в нём некоторые минусы. Памяти катастрофически не хватало, экран казался маленьким, читать долго текст было неудобно. И я решилась купить телефон на Андроиде. Вроде и телефон был хороший и всё в нём есть, экран большой, памяти можно добавить, сколько хочешь. Но, видимо, я настолько привыкла к IOS, да и качество камеры, которое для меня очень важно, было отвратительным, что отходила с ним максимум месяц. И вот решила приобрести iPhone 6. Ошибку с выбором памяти, как с предыдущим iPhone, я допускать не стала и выбрала модель на 64Gb. Было непривычно, что кнопка блокировки находится сбоку, но это оказалось намного удобнее. Телефон очень удобно лежит в руке, новый дизайн мне очень нравится, особенно в белом цвете. По функциям особого отличия от iPhone 5s я не нашла, привычный и удобный touch id, камера такая же, как на 5s, снимки получаются отличного качества, как на основную, так и на фронтальную. Также я заметила, что он хорошо держит батарею, даже при активном использовании. Телефон меня полностью устраивает.",5
9,"Раньше был Samsung Galaxy Alpha SM-G850F 32Gb, купил Iphone 6 16 Gb, экран подходящий, но на Iphone 6 мало памяти для такой цены. Для комфорта лучше взять 64 Gb. Прилично греется в играх. Понравился сенсор отпечатков. Работает очень хорошо.  В совокупности характеристик и возможностей реальная цена ему 20-25 тыс. Но никак не 32. В целом рекомендую к покупке, но сначала проверьте себя на apple-совместимость, взяв любой телефон от apple у друзей или знакомых.",4
